symbol,chain_id,direction,entry,stop_loss,tp1,rr,status,pnl_r,signal_time,entry_time,exit_time,exit_price,bars_in_trade
SOL/USDT,2.6,SHORT,140.28500000000003,141.76428571428573,138.61357142857145,2.26,CANCELLED,0.0,2025-11-19 03:30,,2025-11-19 04:30,,0
SOL/USDT,2.6,SHORT,140.29500000000002,141.76042857142858,138.64285714285714,2.25,CANCELLED,0.0,2025-11-19 03:45,,2025-11-19 04:30,,0
SOL/USDT,Signal_1,LONG,134.1998,131.515804,139.075,2.93,CANCELLED,0.0,2025-11-19 06:00,,2025-11-19 06:30,,0
SOL/USDT,Signal_1,LONG,134.1998,131.515804,139.075,2.93,CANCELLED,0.0,2025-11-19 08:30,,2025-11-19 08:45,,0
SOL/USDT,Signal_1,LONG,134.1998,131.515804,139.075,2.93,CANCELLED,0.0,2025-11-19 11:00,,2025-11-19 11:15,,0
SOL/USDT,2.6,SHORT,141.10500000000002,143.0905,138.20999999999998,1.62,CLOSED_TP,1.62,2025-11-19 07:00,2025-11-19 07:45,2025-11-19 12:30,138.20999999999998,20
SOL/USDT,Signal_1,LONG,134.1998,131.515804,139.075,2.34,CANCELLED,0.0,2025-11-19 13:30,,2025-11-19 15:15,,0
SOL/USDT,Signal_1,LONG,134.1998,131.515804,136.89999999999998,2.34,CLOSED_SL,-1.0,2025-11-19 16:00,2025-11-19 16:15,2025-11-19 17:30,131.515804,6
SOL/USDT,Signal_1,LONG,134.1998,131.515804,136.89999999999998,2.34,CLOSED_TP,2.34,2025-11-19 18:30,2025-11-19 21:15,2025-11-19 23:00,136.89999999999998,8
SOL/USDT,Signal_1,LONG,136.993,134.25314,143.6337142857143,4.85,CLOSED_TP,4.85,2025-11-19 20:00,2025-11-19 23:00,2025-11-20 02:00,143.6337142857143,13
SOL/USDT,Signal_1,LONG,136.993,134.25314,143.6337142857143,4.85,CLOSED_TP,4.85,2025-11-19 23:00,2025-11-19 23:15,2025-11-20 02:00,143.6337142857143,12
SOL/USDT,2.6,SHORT,140.94,142.659,139.545,1.62,CLOSED_TP,1.62,2025-11-20 14:00,2025-11-20 14:15,2025-11-20 14:15,139.545,1
SOL/USDT,2.6,SHORT,140.94,143.27371428571428,138.92142857142858,1.73,CANCELLED,0.0,2025-11-20 15:15,,2025-11-20 15:45,,0
